Date,Location,CompBenchmark,CompYoYChange,SFDetachBenchmark,SFDetachYoYChange,ApartBenchmark,ApartYoYChange
2015-07-01,Toronto C01,478800.0,2.99,679500.0,-3.51,395600.0,3.32
2015-08-01,Toronto C01,486000.0,4.92,702800.0,-0.7,402100.0,5.63
2015-09-01,Toronto C01,488200.0,7.12,687600.0,-1.02,405200.0,8.29
2015-10-01,Toronto C01,484500.0,5.22,696100.0,1.49,399400.0,5.38
2015-11-01,Toronto C01,483000.0,4.22,706700.0,0.0,396200.0,4.39
2015-12-01,Toronto C01,480600.0,2.21,725100.0,0.59,392500.0,1.89
2016-01-01,Toronto C01,479700.0,3.47,698200.0,-1.49,395000.0,3.95
2016-02-01,Toronto C01,482700.0,4.0,698900.0,-1.05,396800.0,4.21
2016-03-01,Toronto C01,490900.0,5.2,714800.0,4.81,403300.0,4.53
2016-04-01,Toronto C01,499600.0,6.22,726100.0,8.32,410800.0,5.28
2016-05-01,Toronto C01,512500.0,7.04,772400.0,14.55,418500.0,5.4
2016-06-01,Toronto C01,510000.0,7.69,794600.0,17.79,414900.0,5.9
2016-07-01,Toronto C01,516200.0,7.82,774800.0,14.03,423500.0,7.0
2016-08-01,Toronto C01,515900.0,6.17,750800.0,6.78,424500.0,5.59
2016-09-01,Toronto C01,525800.0,7.72,770600.0,12.01,433300.0,6.94
2016-10-01,Toronto C01,546600.0,12.84,793900.0,14.1,450300.0,12.77
2016-11-01,Toronto C01,545900.0,13.09,787200.0,11.39,449300.0,13.4
2016-12-01,Toronto C01,549600.0,14.39,805200.0,11.05,451200.0,15.02
2017-01-01,Toronto C01,564900.0,18.87,962200.0,15.55,466300.0,19.72
2017-02-01,Toronto C01,579100.0,20.15,974600.0,20.2,480100.0,21.11
2017-03-01,Toronto C01,617900.0,26.05,1009000.0,21.44,514600.0,27.75
2017-04-01,Toronto C01,643200.0,29.0,1044500.0,23.36,536100.0,30.64
2017-05-01,Toronto C01,643200.0,25.8,1060300.0,17.19,534600.0,27.82
2017-06-01,Toronto C01,650500.0,27.85,1086900.0,16.34,540900.0,30.42
2017-07-01,Toronto C01,631200.0,22.5,1031200.0,12.33,525300.0,24.04
2017-08-01,Toronto C01,630000.0,22.02,1006200.0,13.5,525900.0,23.95
2017-09-01,Toronto C01,633700.0,20.26,1008500.0,10.18,530300.0,22.39
2017-10-01,Toronto C01,647300.0,18.45,1023300.0,8.25,542700.0,20.47
2017-11-01,Toronto C01,654000.0,19.84,1074000.0,13.94,547100.0,21.78
2017-12-01,Toronto C01,659000.0,19.93,1068700.0,10.45,551500.0,22.19
2018-01-01,Toronto C01,657000.0,16.21,1036200.0,6.88,550900.0,18.07
2018-02-01,Toronto C01,685700.0,18.44,1075200.0,9.49,575600.0,19.9
2018-03-01,Toronto C01,687000.0,11.14,1056600.0,3.95,577500.0,12.22
2018-04-01,Toronto C01,702600.0,9.24,1079700.0,2.63,590800.0,10.21
2018-05-01,Toronto C01,708500.0,10.08,1074400.0,0.6,596500.0,11.52
2018-06-01,Toronto C01,703600.0,8.15,1058100.0,-2.65,592300.0,9.51
2018-07-01,Toronto C01,704100.0,11.54,1056200.0,2.42,593100.0,12.92
2018-08-01,Toronto C01,710600.0,13.09,1061900.0,5.53,600800.0,14.25
2018-09-01,Toronto C01,715600.0,13.21,1107000.0,9.76,603500.0,13.82
2018-10-01,Toronto C01,720800.0,11.63,1141400.0,11.55,606500.0,11.74
2018-11-01,Toronto C01,709400.0,8.75,1171000.0,9.03,595800.0,8.9
2018-12-01,Toronto C01,729600.0,11.02,1146700.0,7.3,615200.0,11.55
2019-01-01,Toronto C01,719500.0,9.76,1116800.0,7.79,607300.0,10.24
2019-02-01,Toronto C01,747700.0,9.28,1130500.0,5.14,633100.0,9.98
2019-03-01,Toronto C01,748400.0,9.23,1177400.0,11.43,631900.0,9.41
2019-04-01,Toronto C01,752400.0,7.37,1183100.0,9.58,635200.0,7.51
2019-05-01,Toronto C01,761300.0,7.73,1177400.0,9.59,643700.0,7.92
2019-06-01,Toronto C01,764000.0,8.87,1185000.0,11.99,646000.0,9.07
2019-07-01,Toronto C01,768700.0,9.47,1175900.0,11.37,651000.0,9.76
2019-08-01,Toronto C01,769200.0,8.24,1172900.0,10.45,651600.0,8.45
2019-09-01,Toronto C01,769400.0,7.53,1160000.0,4.79,652300.0,8.07
2019-10-01,Toronto C01,780800.0,8.33,1189200.0,4.18,661600.0,9.1
2019-11-01,Toronto C01,790900.0,11.49,1216800.0,3.91,671400.0,12.68
2019-12-01,Toronto C01,794400.0,8.87,1160000.0,1.16,676000.0,9.88
2020-01-01,Toronto C01,800800.0,11.3,1212600.0,8.58,680200.0,12.0
2020-02-01,Toronto C01,824300.0,10.24,1251600.0,10.72,699900.0,10.56
2020-03-01,Toronto C01,845800.0,13.01,1299000.0,10.32,718000.0,13.64
2020-04-01,Toronto C01,841300.0,11.82,1241000.0,5.0,714700.0,12.56
2020-05-01,Toronto C01,837300.0,10.0,1214900.0,3.18,711800.0,10.58
2020-06-01,Toronto C01,808600.0,5.89,1175600.0,-0.8,686400.0,6.25
2020-07-01,Toronto C01,813300.0,5.85,1257700.0,6.96,687000.0,5.53
2020-08-01,Toronto C01,813600.0,5.78,1264200.0,7.78,686600.0,5.37
2020-09-01,Toronto C01,805200.0,4.72,1231200.0,6.14,679700.0,4.21
2020-10-01,Toronto C01,786400.0,0.76,1221000.0,2.68,661200.0,-0.06
2020-11-01,Toronto C01,775800.0,-1.91,1227400.0,0.87,651400.0,-2.98
2020-12-01,Toronto C01,763700.0,-3.89,1191100.0,2.74,641800.0,-5.05
2021-01-01,Toronto C01,765100.0,-4.47,1223300.0,0.87,642100.0,-5.63
2021-02-01,Toronto C01,784200.0,-4.88,1270600.0,1.54,657900.0,-6.04
2021-03-01,Toronto C01,814300.0,-3.77,1310400.0,0.93,684100.0,-4.73
2015-07-01,Toronto C02,928300.0,3.38,1443400.0,4.3,527400.0,0.64
2015-08-01,Toronto C02,906900.0,2.25,1395000.0,3.29,520900.0,1.03
2015-09-01,Toronto C02,922100.0,3.74,1407700.0,2.19,534900.0,5.04
2015-10-01,Toronto C02,924500.0,3.34,1441800.0,5.69,519300.0,-0.53
2015-11-01,Toronto C02,946800.0,6.86,1475900.0,7.32,534000.0,4.76
2015-12-01,Toronto C02,937700.0,6.64,1474300.0,8.39,517000.0,2.26
2016-01-01,Toronto C02,947200.0,5.78,1547200.0,10.91,537400.0,4.96
2016-02-01,Toronto C02,938200.0,5.61,1446500.0,3.93,527700.0,3.56
2016-03-01,Toronto C02,953900.0,4.85,1471900.0,3.4,534100.0,2.35
2016-04-01,Toronto C02,967600.0,3.56,1540800.0,5.82,514300.0,-4.7
2016-05-01,Toronto C02,1002300.0,6.29,1572500.0,6.9,543900.0,0.83
2016-06-01,Toronto C02,1019400.0,9.15,1607400.0,11.55,557800.0,4.0
2016-07-01,Toronto C02,1038400.0,11.87,1632800.0,13.12,568600.0,7.88
2016-08-01,Toronto C02,1054100.0,16.29,1625600.0,16.6,591500.0,13.54
2016-09-01,Toronto C02,1054100.0,14.26,1632000.0,16.0,599600.0,12.04
2016-10-01,Toronto C02,1056900.0,14.33,1641500.0,13.85,603300.0,16.17
2016-11-01,Toronto C02,1056000.0,11.53,1638300.0,11.01,603000.0,12.9
2016-12-01,Toronto C02,1068800.0,14.03,1662100.0,12.68,601900.0,16.4
2017-01-01,Toronto C02,1100700.0,14.39,1692700.0,13.79,627400.0,15.05
2017-02-01,Toronto C02,1138500.0,19.15,1701400.0,16.68,658200.0,21.39
2017-03-01,Toronto C02,1149100.0,18.47,1788600.0,21.01,645300.0,17.54
2017-04-01,Toronto C02,1190300.0,21.46,1901100.0,23.2,648700.0,22.68
2017-05-01,Toronto C02,1215200.0,19.5,1955700.0,23.33,665800.0,19.23
2017-06-01,Toronto C02,1222100.0,17.53,1948700.0,19.44,683200.0,19.36
2017-07-01,Toronto C02,1218300.0,15.98,1892000.0,13.79,695100.0,19.32
2017-08-01,Toronto C02,1166100.0,8.45,1791300.0,8.36,668900.0,10.29
2017-09-01,Toronto C02,1175700.0,9.1,1754500.0,5.53,689100.0,12.3
2017-10-01,Toronto C02,1166100.0,7.59,1752100.0,4.33,681200.0,10.18
2017-11-01,Toronto C02,1187200.0,9.58,1776100.0,5.96,698000.0,13.01
2017-12-01,Toronto C02,1168500.0,7.1,1749800.0,3.69,687700.0,11.6
2018-01-01,Toronto C02,1178600.0,6.53,1758500.0,2.9,700800.0,11.72
2018-02-01,Toronto C02,1179000.0,3.48,1774500.0,3.25,694800.0,5.72
2018-03-01,Toronto C02,1196300.0,3.73,1796100.0,-0.49,703100.0,8.96
2018-04-01,Toronto C02,1255600.0,5.25,1890400.0,-1.46,734200.0,13.18
2018-05-01,Toronto C02,1239800.0,1.69,1883200.0,-4.57,719300.0,8.09
2018-06-01,Toronto C02,1253700.0,2.58,1868800.0,-4.1,735900.0,7.71
2018-07-01,Toronto C02,1241700.0,1.92,1850400.0,-2.2,733900.0,5.57
